Carpeta,Algoritmo,Tamaño,Tiempo
random,Quick Sort,100,1.031e-05
random,Merge Sort,100,2.716e-05
random,Selection Sort,100,3.1269e-05
random,Quick Sort,200,1.8079e-05
random,Merge Sort,200,7.872e-05
random,Selection Sort,200,6.963e-05
random,Quick Sort,300,2.778e-05
random,Merge Sort,300,8.0159e-05
random,Selection Sort,300,0.000184518
random,Quick Sort,400,3.683e-05
random,Merge Sort,400,0.000104159
random,Selection Sort,400,0.000311747
random,Quick Sort,500,5.457e-05
random,Merge Sort,500,0.000144358
random,Selection Sort,500,0.000482135
random,Quick Sort,1000,0.000168518
random,Merge Sort,1000,0.000418296
random,Selection Sort,1000,0.00252117
random,Quick Sort,5000,0.000891201
random,Merge Sort,5000,0.00178718
random,Selection Sort,5000,0.0520025
random,Quick Sort,10000,0.00149421
random,Merge Sort,10000,0.00381675
random,Selection Sort,10000,0.159965
random,Quick Sort,50000,0.00918552
random,Merge Sort,50000,0.0221033
random,Selection Sort,50000,3.80861
random,Quick Sort,100000,0.0185179
random,Merge Sort,100000,0.0334357
random,Selection Sort,100000,14.9855
semi_sorted,Quick Sort,100,6.76e-06
semi_sorted,Merge Sort,100,2.5759e-05
semi_sorted,Selection Sort,100,2.228e-05
semi_sorted,Quick Sort,200,1.989e-05
semi_sorted,Merge Sort,200,6.3659e-05
semi_sorted,Selection Sort,200,0.000123318
semi_sorted,Quick Sort,300,2.5609e-05
semi_sorted,Merge Sort,300,7.7869e-05
semi_sorted,Selection Sort,300,0.000139169
semi_sorted,Quick Sort,400,3.882e-05
semi_sorted,Merge Sort,400,0.000153678
semi_sorted,Selection Sort,400,0.000247978
semi_sorted,Quick Sort,500,5.2469e-05
semi_sorted,Merge Sort,500,0.000132219
semi_sorted,Selection Sort,500,0.000449985
semi_sorted,Quick Sort,1000,0.000100669
semi_sorted,Merge Sort,1000,0.000299778
semi_sorted,Selection Sort,1000,0.00149158
semi_sorted,Quick Sort,5000,0.000666543
semi_sorted,Merge Sort,5000,0.0021375
semi_sorted,Selection Sort,5000,0.0391176
semi_sorted,Quick Sort,10000,0.00141462
semi_sorted,Merge Sort,10000,0.0029934
semi_sorted,Selection Sort,10000,0.148321
semi_sorted,Quick Sort,50000,0.00803535
semi_sorted,Merge Sort,50000,0.0170491
semi_sorted,Selection Sort,50000,3.78416
semi_sorted,Quick Sort,100000,0.0159574
semi_sorted,Merge Sort,100000,0.0350972
semi_sorted,Selection Sort,100000,15.2195
reverse_sorted,Quick Sort,100,3.836e-05
reverse_sorted,Merge Sort,100,2.666e-05
reverse_sorted,Selection Sort,100,1.696e-05
reverse_sorted,Quick Sort,200,0.000115019
reverse_sorted,Merge Sort,200,5.4369e-05
reverse_sorted,Selection Sort,200,7.6319e-05
reverse_sorted,Quick Sort,300,0.000302137
reverse_sorted,Merge Sort,300,9.7819e-05
reverse_sorted,Selection Sort,300,0.000174108
reverse_sorted,Quick Sort,400,0.000434055
reverse_sorted,Merge Sort,400,0.000110379
reverse_sorted,Selection Sort,400,0.000359426
reverse_sorted,Quick Sort,500,0.000654524
reverse_sorted,Merge Sort,500,0.000199098
reverse_sorted,Selection Sort,500,0.000539265
reverse_sorted,Quick Sort,1000,0.00261999
reverse_sorted,Merge Sort,1000,0.000362356
reverse_sorted,Selection Sort,1000,0.00171515
reverse_sorted,Quick Sort,5000,0.0613089
reverse_sorted,Merge Sort,5000,0.00145586
reverse_sorted,Selection Sort,5000,0.0365721
reverse_sorted,Quick Sort,10000,0.20747
reverse_sorted,Merge Sort,10000,0.00300132
reverse_sorted,Selection Sort,10000,0.149265
reverse_sorted,Quick Sort,50000,2.23291
reverse_sorted,Merge Sort,50000,0.015878
reverse_sorted,Selection Sort,50000,3.71683
reverse_sorted,Quick Sort,100000,4.88838
reverse_sorted,Merge Sort,100000,0.0339198
reverse_sorted,Selection Sort,100000,15.1343
