Algoritmo,Cantidad Elementos,Tiempo
Iterativo Cubico,5000,0.0125676
Iterativo Cubico,10000,0.0137371
Iterativo Cubico,15000,0.0277877
Iterativo Cubico,20000,0.0191966
Iterativo Cubico,25000,0.035485
Iterativo Cubico,30000,0.025547
Iterativo Cubico,35000,0.0322656
Iterativo Cubico,40000,0.0327539
Iterativo Cubico,5000,0.0116843
Iterativo Cubico,20000,0.0361386
Iterativo Cubico,30000,0.0642821
Iterativo Cubico,40000,0.141047
Iterativo Cubico,50000,0.137149
Iterativo Cubico,60000,0.0814699
Iterativo Cubico,70000,0.100811
Iterativo Cubico,80000,0.0995935
Iterativo Cubico,10000,0.0375409
Iterativo Cubico,20000,0.0829664
Iterativo Cubico,60000,0.142865
Iterativo Cubico,80000,0.184786
Iterativo Cubico,100000,0.265005
Iterativo Cubico,120000,0.283654
Iterativo Cubico,140000,0.345316
Iterativo Cubico,160000,0.344831
Iterativo Cubico,15000,0.115357
Iterativo Cubico,30000,0.226857
Iterativo Cubico,60000,0.214309
Iterativo Cubico,120000,0.39115
Iterativo Cubico,150000,0.487619
Iterativo Cubico,180000,0.815946
Iterativo Cubico,210000,0.685018
Iterativo Cubico,240000,0.777563
Iterativo Cubico,20000,0.104253
Iterativo Cubico,40000,0.184087
Iterativo Cubico,80000,0.34378
Iterativo Cubico,120000,0.516155
Iterativo Cubico,200000,0.85103
Iterativo Cubico,240000,1.02742
Iterativo Cubico,280000,1.25127
Iterativo Cubico,320000,1.38419
Iterativo Cubico,25000,0.147911
Iterativo Cubico,50000,0.265951
Iterativo Cubico,100000,0.53511
Iterativo Cubico,150000,0.927384
Iterativo Cubico,200000,1.04197
Iterativo Cubico,300000,1.55883
Iterativo Cubico,350000,1.89566
Iterativo Cubico,400000,2.21791
Iterativo Cubico,30000,0.202998
Iterativo Cubico,60000,0.440618
Iterativo Cubico,120000,0.783092
Iterativo Cubico,180000,1.13137
Iterativo Cubico,240000,1.52864
Iterativo Cubico,300000,2.68988
Iterativo Cubico,420000,2.7366
Iterativo Cubico,480000,3.64913
Iterativo Cubico,35000,0.650381
Iterativo Cubico,70000,0.751145
Iterativo Cubico,140000,1.81465
Iterativo Cubico,210000,1.66291
Iterativo Cubico,280000,2.60421
Iterativo Cubico,350000,2.78021
Iterativo Cubico,420000,3.64389
Iterativo Cubico,560000,4.22569
Iterativo Cubico,40000,0.353082
Iterativo Cubico,80000,0.699965
Iterativo Cubico,160000,1.33722
Iterativo Cubico,240000,2.11724
Iterativo Cubico,320000,2.75304
Iterativo Cubico,400000,3.50224
Iterativo Cubico,480000,4.22651
Iterativo Cubico,560000,5.00808
