Folder,Algorithm,Size,Time
random,Quick Sort,100,2.4237e-05
random,Merge Sort,100,9.5559e-05
random,Selection Sort,100,4.5664e-05
random,Quick Sort,200,8.0775e-05
random,Merge Sort,200,0.000140891
random,Selection Sort,200,0.000183653
random,Quick Sort,300,8.7176e-05
random,Merge Sort,300,0.000215051
random,Selection Sort,300,0.000399632
random,Quick Sort,400,0.00010981
random,Merge Sort,400,0.000272333
random,Selection Sort,400,0.000841039
random,Quick Sort,500,0.000199975
random,Merge Sort,500,0.000488018
random,Selection Sort,500,0.00176325
random,Quick Sort,1000,0.000511309
random,Merge Sort,1000,0.000911915
random,Selection Sort,1000,0.0050414
random,Quick Sort,5000,0.00203979
random,Merge Sort,5000,0.00483966
random,Selection Sort,5000,0.132343
random,Quick Sort,10000,0.00447567
random,Merge Sort,10000,0.00925459
random,Selection Sort,10000,0.447773
random,Quick Sort,50000,0.0228884
random,Merge Sort,50000,0.045332
random,Selection Sort,50000,10.4139
random,Quick Sort,100000,0.0585985
random,Merge Sort,100000,0.0921728
random,Selection Sort,100000,43.7836
semi_sorted,Quick Sort,100,1.756e-05
semi_sorted,Merge Sort,100,6.4763e-05
semi_sorted,Selection Sort,100,3.6895e-05
semi_sorted,Quick Sort,200,3.8801e-05
semi_sorted,Merge Sort,200,0.000108559
semi_sorted,Selection Sort,200,0.000159277
semi_sorted,Quick Sort,300,6.4308e-05
semi_sorted,Merge Sort,300,0.000172181
semi_sorted,Selection Sort,300,0.000328987
semi_sorted,Quick Sort,400,9.1498e-05
semi_sorted,Merge Sort,400,0.000233387
semi_sorted,Selection Sort,400,0.000578463
semi_sorted,Quick Sort,500,0.000116321
semi_sorted,Merge Sort,500,0.000295144
semi_sorted,Selection Sort,500,0.000856922
semi_sorted,Quick Sort,1000,0.000253215
semi_sorted,Merge Sort,1000,0.000555417
semi_sorted,Selection Sort,1000,0.00526959
semi_sorted,Quick Sort,5000,0.00294391
semi_sorted,Merge Sort,5000,0.00588603
semi_sorted,Selection Sort,5000,0.121589
semi_sorted,Quick Sort,10000,0.00334571
semi_sorted,Merge Sort,10000,0.00677596
semi_sorted,Selection Sort,10000,0.437036
semi_sorted,Quick Sort,50000,0.0197152
semi_sorted,Merge Sort,50000,0.0452141
semi_sorted,Selection Sort,50000,9.92275
semi_sorted,Quick Sort,100000,0.0481447
semi_sorted,Merge Sort,100000,0.0949421
semi_sorted,Selection Sort,100000,37.5879
reverse_sorted,Quick Sort,100,7.9215e-05
reverse_sorted,Merge Sort,100,5.0279e-05
reverse_sorted,Selection Sort,100,3.4954e-05
reverse_sorted,Quick Sort,200,0.00022304
reverse_sorted,Merge Sort,200,9.4938e-05
reverse_sorted,Selection Sort,200,0.000130912
reverse_sorted,Quick Sort,300,0.000499233
reverse_sorted,Merge Sort,300,0.000161609
reverse_sorted,Selection Sort,300,0.000307391
reverse_sorted,Quick Sort,400,0.00118976
reverse_sorted,Merge Sort,400,0.000217179
reverse_sorted,Selection Sort,400,0.000541337
reverse_sorted,Quick Sort,500,0.00148759
reverse_sorted,Merge Sort,500,0.000270343
reverse_sorted,Selection Sort,500,0.00136259
reverse_sorted,Quick Sort,1000,0.0115978
reverse_sorted,Merge Sort,1000,0.000963073
reverse_sorted,Selection Sort,1000,0.00755951
reverse_sorted,Quick Sort,5000,0.170353
reverse_sorted,Merge Sort,5000,0.00345049
reverse_sorted,Selection Sort,5000,0.111609
reverse_sorted,Quick Sort,10000,0.505063
reverse_sorted,Merge Sort,10000,0.00669929
reverse_sorted,Selection Sort,10000,0.415759
reverse_sorted,Quick Sort,50000,5.18361
reverse_sorted,Merge Sort,50000,0.0389273
reverse_sorted,Selection Sort,50000,9.07758
reverse_sorted,Quick Sort,100000,11.1152
reverse_sorted,Merge Sort,100000,0.0804248
reverse_sorted,Selection Sort,100000,36.3627
